id,level,health,move_speed,attack_speed,armor,resistance,damage,detect_melee_attack,detect_range_attack,detect_block,crit_chance,crit_damage,hp_regeneration,time_trigger_regeneration,time_revive,damage_type,block_enemy,search_target,priority_target,max_exp,hero_classes
1001,1,600,1.5,0.8,20,10,15,0.6,0,2,0,0,100,3,50,0,5,0,"1,2",0,"0,2,7"
1001,2,626,1.5,0.8,20.9,10.5,15.7,0.6,0,2,0,0,100,3,50,0,5,0,"1,2",28,"0,2,7"
1001,3,651,1.5,0.8,21.8,11,16.4,0.6,0,2,0,0,100,3,50,0,5,0,"1,2",37,"0,2,7"
1001,4,677,1.5,0.8,22.7,11.5,17.1,0.6,0,2,0,0,100,3,50,0,5,0,"1,2",49,"0,2,7"
1001,5,702,1.5,0.8,23.6,12,17.8,0.6,0,2,0,0,100,3,50,0,5,0,"1,2",64,"0,2,7"
1001,6,728,1.5,0.8,24.5,12.5,18.5,0.6,0,2,0,0,100,3,50,0,5,0,"1,2",85,"0,2,7"
1001,7,753,1.5,0.8,25.4,13,19.2,0.6,0,2,0,0,100,3,50,0,5,0,"1,2",112,"0,2,7"
1001,8,779,1.5,0.8,26.3,13.5,19.9,0.6,0,2,0,0,100,3,50,0,5,0,"1,2",148,"0,2,7"
1001,9,804,1.5,0.8,27.2,14,20.6,0.6,0,2,0,0,100,3,50,0,5,0,"1,2",196,"0,2,7"
1001,10,830,1.5,0.8,28.1,14.5,21.3,0.6,0,2,0,0,100,3,50,0,5,0,"1,2",258,"0,2,7"
1001,11,855,1.5,0.8,29,15,22,0.6,0,2,0,0,100,3,50,0,5,0,"1,2",341,"0,2,7"
1001,12,881,1.5,0.8,29.9,15.5,22.7,0.6,0,2,0,0,100,3,50,0,5,0,"1,2",450,"0,2,7"
1001,13,906,1.5,0.8,30.8,16,23.4,0.6,0,2,0,0,100,3,50,0,5,0,"1,2",594,"0,2,7"
1001,14,932,1.5,0.8,31.7,16.5,24.1,0.6,0,2,0,0,100,3,50,0,5,0,"1,2",784,"0,2,7"
1001,15,957,1.5,0.8,32.6,17,24.8,0.6,0,2,0,0,100,3,50,0,5,0,"1,2",1034,"0,2,7"
1001,16,983,1.5,0.8,33.5,17.5,25.5,0.6,0,2,0,0,100,3,50,0,5,0,"1,2",1365,"0,2,7"
1001,17,1008,1.5,0.8,34.4,18,26.2,0.6,0,2,0,0,100,3,50,0,5,0,"1,2",1802,"0,2,7"
1001,18,1034,1.5,0.8,35.3,18.5,26.9,0.6,0,2,0,0,100,3,50,0,5,0,"1,2",2379,"0,2,7"
1001,19,1059,1.5,0.8,36.2,19,27.6,0.6,0,2,0,0,100,3,50,0,5,0,"1,2",3140,"0,2,7"
1001,20,1085,1.5,0.8,37.1,19.5,28.3,0.6,0,2,0,0,100,3,50,0,5,0,"1,2",4145,"0,2,7"
1001,21,1110,1.5,0.8,38,20,29,0.6,0,2,0,0,100,3,50,0,5,0,"1,2",5471,"0,2,7"
1001,22,1136,1.5,0.8,38.9,20.5,29.7,0.6,0,2,0,0,100,3,50,0,5,0,"1,2",7222,"0,2,7"
1001,23,1161,1.5,0.8,39.8,21,30.4,0.6,0,2,0,0,100,3,50,0,5,0,"1,2",9533,"0,2,7"
1001,24,1187,1.5,0.8,40.7,21.5,31.1,0.6,0,2,0,0,100,3,50,0,5,0,"1,2",12583,"0,2,7"
