key~value
difficult_normal~Normal
difficult_nightmare~Pesadelo
difficult_mode~Difficudade
stamina_cost~Custo
powerup_items~Feitiços
stage_name_1_1~Horda de orc do sul
stage_name_1_2~Batalha da Ilha Crescente
stage_name_1_3~O desembarque em Long Beach
stage_name_1_4~Defesa do rio Ramr
stage_name_1_5~Ruínas de Therinsfort
stage_name_1_6~Legion II caiu
stage_name_1_7~Batalha de planície Bezno
stage_name_1_8~Estrada para a Alsace
stage_name_1_9~Inimigo na frente
stage_name_1_10~Protetor da Alsace
stage_name_1_11~O segundo ataque
stage_name_1_12~Proteja a cidade
stage_name_1_13~Os velhos amigos
stage_name_1_14~Aliança
stage_name_1_15~Cerco de Yggdrasil
stage_name_1_16~Contra ataque
stage_name_1_17~O ultimo ataque
stage_name_1_18~Preso no pântano
stage_name_1_19~Perseguindo
stage_name_1_20~Fortaleza de Izgol
stage_name_1_22~Floresta esquecida
