stage_id,gold_wave_0,gold_wave_1,gold_wave_2,gold_wave_3,gold_wave_4,gold_wave_5,gold_wave_6,gold_wave_7,gold_wave_8,gold_wave_9,gold_wave_10,gold_wave_11,gold_wave_12,gold_wave_13,gold_wave_14,gold_wave_15,gold_wave_16
0,100,150,250,180,250,300,0,0,0,0,0,0,0,0,0,0,0
1,150,200,300,300,200,350,400,0,0,0,0,0,0,0,0,0,0
2,180,280,380,250,200,280,350,500,0,0,0,0,0,0,0,0,0
3,150,200,300,300,300,200,200,300,400,0,0,0,0,0,0,0,0
4,250,280,280,350,400,300,300,450,450,550,0,0,0,0,0,0,0
5,260,360,350,260,400,360,300,500,0,0,0,0,0,0,0,0,0
6,200,300,350,400,450,380,400,400,600,0,0,0,0,0,0,0,0
7,280,350,300,300,480,450,500,600,0,0,0,0,0,0,0,0,0
8,200,300,260,280,300,400,400,450,500,0,0,0,0,0,0,0,0
9,250,240,150,400,300,400,400,400,400,500,0,0,0,0,0,0,0
10,300,300,300,350,400,400,550,0,0,0,0,0,0,0,0,0,0
11,280,340,380,400,300,400,500,600,0,0,0,0,0,0,0,0,0
12,250,300,320,360,380,380,350,400,500,0,0,0,0,0,0,0,0
13,230,300,400,400,400,450,450,550,0,0,0,0,0,0,0,0,0
14,400,400,460,320,450,500,450,500,550,650,0,0,0,0,0,0,0
15,280,340,400,450,550,450,600,0,0,0,0,0,0,0,0,0,0
16,300,450,450,500,550,500,450,550,0,0,0,0,0,0,0,0,0
17,350,580,530,550,450,500,600,0,0,0,0,0,0,0,0,0,0
18,420,460,440,600,530,380,430,480,750,0,0,0,0,0,0,0,0
19,500,550,500,500,600,560,580,560,630,680,0,0,0,0,0,0,0
