id,level,health,move_speed,attack_speed,armor,resistance,damage,detect_melee_attack,detect_range_attack,detect_block,crit_chance,crit_damage,hp_regeneration,time_trigger_regeneration,time_revive,damage_type,block_enemy,search_target,priority_target,max_exp,hero_classes
1003,1,990,1.3,0.6,35,20,13,0.6,0,2,0,0,100,3,50,0,8,0,"1,2",0,"0,2,4,6"
1003,2,1032,1.3,0.6,36.5,20.9,13.6,0.6,0,2,0,0,100,3,50,0,8,0,"1,2",36,"0,2,4,6"
1003,3,1074,1.3,0.6,38,21.8,14.1,0.6,0,2,0,0,100,3,50,0,8,0,"1,2",48,"0,2,4,6"
1003,4,1117,1.3,0.6,39.5,22.7,14.7,0.6,0,2,0,0,100,3,50,0,8,0,"1,2",63,"0,2,4,6"
1003,5,1159,1.3,0.6,41,23.6,15.2,0.6,0,2,0,0,100,3,50,0,8,0,"1,2",83,"0,2,4,6"
1003,6,1201,1.3,0.6,42.5,24.5,15.8,0.6,0,2,0,0,100,3,50,0,8,0,"1,2",109,"0,2,4,6"
1003,7,1243,1.3,0.6,44,25.4,16.4,0.6,0,2,0,0,100,3,50,0,8,0,"1,2",144,"0,2,4,6"
1003,8,1285,1.3,0.6,45.5,26.3,16.9,0.6,0,2,0,0,100,3,50,0,8,0,"1,2",190,"0,2,4,6"
1003,9,1328,1.3,0.6,47,27.2,17.5,0.6,0,2,0,0,100,3,50,0,8,0,"1,2",251,"0,2,4,6"
1003,10,1370,1.3,0.6,48.5,28.1,18,0.6,0,2,0,0,100,3,50,0,8,0,"1,2",332,"0,2,4,6"
1003,11,1412,1.3,0.6,50,29,18.6,0.6,0,2,0,0,100,3,50,0,8,0,"1,2",438,"0,2,4,6"
1003,12,1454,1.3,0.6,51.5,29.9,19.2,0.6,0,2,0,0,100,3,50,0,8,0,"1,2",578,"0,2,4,6"
1003,13,1496,1.3,0.6,53,30.8,19.7,0.6,0,2,0,0,100,3,50,0,8,0,"1,2",763,"0,2,4,6"
1003,14,1539,1.3,0.6,54.5,31.7,20.3,0.6,0,2,0,0,100,3,50,0,8,0,"1,2",1007,"0,2,4,6"
1003,15,1581,1.3,0.6,56,32.6,20.8,0.6,0,2,0,0,100,3,50,0,8,0,"1,2",1330,"0,2,4,6"
1003,16,1623,1.3,0.6,57.5,33.5,21.4,0.6,0,2,0,0,100,3,50,0,8,0,"1,2",1755,"0,2,4,6"
1003,17,1665,1.3,0.6,59,34.4,22,0.6,0,2,0,0,100,3,50,0,8,0,"1,2",2317,"0,2,4,6"
1003,18,1707,1.3,0.6,60.5,35.3,22.5,0.6,0,2,0,0,100,3,50,0,8,0,"1,2",3058,"0,2,4,6"
1003,19,1750,1.3,0.6,62,36.2,23.1,0.6,0,2,0,0,100,3,50,0,8,0,"1,2",4037,"0,2,4,6"
1003,20,1792,1.3,0.6,63.5,37.1,23.6,0.6,0,2,0,0,100,3,50,0,8,0,"1,2",5329,"0,2,4,6"
1003,21,1834,1.3,0.6,65,38,24.2,0.6,0,2,0,0,100,3,50,0,8,0,"1,2",7034,"0,2,4,6"
1003,22,1876,1.3,0.6,66.5,38.9,24.8,0.6,0,2,0,0,100,3,50,0,8,0,"1,2",9285,"0,2,4,6"
1003,23,1918,1.3,0.6,68,39.8,25.3,0.6,0,2,0,0,100,3,50,0,8,0,"1,2",12256,"0,2,4,6"
1003,24,1961,1.3,0.6,69.5,40.7,25.9,0.6,0,2,0,0,100,3,50,0,8,0,"1,2",16178,"0,2,4,6"
