key~value
sale_txt~Vente
hot_deal_txt~Bon prix
hot_deal_2_txt~Prix Chaud
best_deal_txt~Meilleur
profit_txt~Bénéfice {0} %
diamond_pack_txt~Packs de Gemme
crystal_pack_txt~Packs de Cristal
own_txt~Possédé: {0}
nametab_poweritem~Élément de soutien
starter_pack_name~Kit de départ
starter_pack_des~Recrutez <color=#ffef76>{0}</color> et réclamez immédiatement une fantastique récompense!
gem_name_0~Poignée de gemmes
gem_name_1~Sac de gemme
gem_name_2~Baril de gemmes
gem_name_3~Coffre de gemmes
gem_name_4~Caveau des gemmes
gem_name_5~Montagne des gemmes
crystal_name_0~Poignée de cristaux
crystal_name_1~Sac de cristaux
crystal_name_2~Baril de cristaux
crystal_name_3~Coffre de cristaux
crystal_name_4~Caveau des cristaux
crystal_name_5~Montagne des cristaux
profit_title~Bénéfice
hero_4_bundle~Paquet de Marco
hero_4_bundle_txt~Recrutez <color=#ffef76>Marco et Pomp</color> maintenant pour éliminer les Orcs!
hero_resource_title~Niveau supérieur
hero_resource_slogan~Récupérez des cristaux <color=#ff9cf2>{0}</color> immédiatement et améliorez votre héros au niveau <color=#ff9cf2>18</color> !
rune_flash_sale_title~Rune de Vente Rapide
spell_flash_sale_title~Épeler de Vente Rapide
spell_pack_name_txt~Paquet de Épeler
random_spell_pack_name_txt~Paquet de Épeler {0}
