id,level,health,move_speed,attack_speed,armor,resistance,damage,detect_melee_attack,detect_range_attack,detect_block,crit_chance,crit_damage,hp_regeneration,time_trigger_regeneration,time_revive,damage_type,block_enemy,search_target,priority_target,max_exp,hero_classes
1002,1,320,2,1,10,25,20,0.4,4.9,1,0.1,0.1,50,3,40,0,1,2,"3,0",0,"1,4"
1002,2,334,2,1,10.4,26.1,20.9,0.4,4.9,1,0.1,0.1,50,3,40,0,1,2,"3,0",30,"1,4"
1002,3,347,2,1,10.8,27.2,21.8,0.4,4.9,1,0.1,0.1,50,3,40,0,1,2,"3,0",40,"1,4"
1002,4,361,2,1,11.2,28.3,22.7,0.4,4.9,1,0.1,0.1,50,3,40,0,1,2,"3,0",52,"1,4"
1002,5,374,2,1,11.6,29.4,23.6,0.4,4.9,1,0.1,0.1,50,3,40,0,1,2,"3,0",69,"1,4"
1002,6,388,2,1,12,30.5,24.5,0.4,4.9,1,0.1,0.1,50,3,40,0,1,2,"3,0",91,"1,4"
1002,7,401,2,1,12.4,31.6,25.4,0.4,4.9,1,0.1,0.1,50,3,40,0,1,2,"3,0",120,"1,4"
1002,8,415,2,1,12.8,32.7,26.3,0.4,4.9,1,0.1,0.1,50,3,40,0,1,2,"3,0",159,"1,4"
1002,9,428,2,1,13.2,33.8,27.2,0.4,4.9,1,0.1,0.1,50,3,40,0,1,2,"3,0",209,"1,4"
1002,10,442,2,1,13.6,34.9,28.1,0.4,4.9,1,0.1,0.1,50,3,40,0,1,2,"3,0",277,"1,4"
1002,11,455,2,1,14,36,29,0.4,4.9,1,0.1,0.1,50,3,40,0,1,2,"3,0",365,"1,4"
1002,12,469,2,1,14.4,37.1,29.9,0.4,4.9,1,0.1,0.1,50,3,40,0,1,2,"3,0",482,"1,4"
1002,13,482,2,1,14.8,38.2,30.8,0.4,4.9,1,0.1,0.1,50,3,40,0,1,2,"3,0",636,"1,4"
1002,14,496,2,1,15.2,39.3,31.7,0.4,4.9,1,0.1,0.1,50,3,40,0,1,2,"3,0",839,"1,4"
1002,15,509,2,1,15.6,40.4,32.6,0.4,4.9,1,0.1,0.1,50,3,40,0,1,2,"3,0",1108,"1,4"
1002,16,523,2,1,16,41.5,33.5,0.4,4.9,1,0.1,0.1,50,3,40,0,1,2,"3,0",1463,"1,4"
1002,17,536,2,1,16.4,42.6,34.4,0.4,4.9,1,0.1,0.1,50,3,40,0,1,2,"3,0",1931,"1,4"
1002,18,550,2,1,16.8,43.7,35.3,0.4,4.9,1,0.1,0.1,50,3,40,0,1,2,"3,0",2549,"1,4"
1002,19,563,2,1,17.2,44.8,36.2,0.4,4.9,1,0.1,0.1,50,3,40,0,1,2,"3,0",3364,"1,4"
1002,20,577,2,1,17.6,45.9,37.1,0.4,4.9,1,0.1,0.1,50,3,40,0,1,2,"3,0",4441,"1,4"
1002,21,590,2,1,18,47,38,0.4,4.9,1,0.1,0.1,50,3,40,0,1,2,"3,0",5862,"1,4"
1002,22,604,2,1,18.4,48.1,38.9,0.4,4.9,1,0.1,0.1,50,3,40,0,1,2,"3,0",7737,"1,4"
1002,23,517,2,1,18.8,49.2,39.8,0.4,4.9,1,0.1,0.1,50,3,40,0,1,2,"3,0",10213,"1,4"
1002,24,631,2,1,19.2,50.3,40.7,0.4,4.9,1,0.1,0.1,50,3,40,0,1,2,"3,0",13482,"1,4"
