key~value
difficult_normal~Normal
difficult_nightmare~Nightmare
difficult_mode~Difficult
stamina_cost~Cost
powerup_items~Spells
stage_name_1_1~Horde of southern Orc
stage_name_1_2~Battle of Crescent Island
stage_name_1_3~The Long Beach landing
stage_name_1_4~Defense of river Ramr
stage_name_1_5~Therinsfort ruin
stage_name_1_6~Legion II has fallen
stage_name_1_7~Battle of field Bezno
stage_name_1_8~Road to Alsace
stage_name_1_9~Enemy at front
stage_name_1_10~Protector of Alsace
stage_name_1_11~The second wave
stage_name_1_12~Protect the city
stage_name_1_13~The old friends
stage_name_1_14~Alliance
stage_name_1_15~Siege of Yggdrasil
stage_name_1_16~Counter Attack
stage_name_1_17~The last wave
stage_name_1_18~Trapped in swamp
stage_name_1_19~Chasing
stage_name_1_20~Izgol fortress
stage_name_1_22~Forgotten forest
