key~value
sale_txt~Sale
hot_deal_txt~Hot
hot_deal_2_txt~Hot Deal
best_deal_txt~Best
profit_txt~Profit {0}%
diamond_pack_txt~Gem packs
crystal_pack_txt~Crystal packs
own_txt~Owned: {0}
nametab_poweritem~Power-up
starter_pack_name~Starter pack
starter_pack_des~Recruit <color=#ffef76>{0}</color> and claim fantastic rewards immediately!
gem_name_0~Handful of Gems
gem_name_1~Bag of Gem
gem_name_2~Barrel of Gems
gem_name_3~Chest of Gems
gem_name_4~Vault of Gems
gem_name_5~Mountain of Gems
crystal_name_0~Handful of Crystals
crystal_name_1~Bag of Crystals
crystal_name_2~Barrel of Crystals
crystal_name_3~Chest of Crystals
crystal_name_4~Vault of Crystals
crystal_name_5~Mountain of Crystals
profit_title~Profit
hero_4_bundle~Marco Bundle
hero_4_bundle_txt~Recruit <color=#ffef76>Marco and Pomp</color> now to wipe out the Orcs!
hero_resource_title~Level up
hero_resource_slogan~Claim <color=#ff9cf2>{0}</color> Crystals immediately and boost your Hero to level <color=#ff9cf2>18</color>!
rune_flash_sale_title~Rune Flash Sale
spell_flash_sale_title~Spell Flash Sale
spell_pack_name_txt~Spell Package
random_spell_pack_name_txt~{0} Spell Package
