rune_id,rarity,level,ratio_bonus,value_bonus,stat_bonus,stat_apply_chance
0,0,1,0,2,6,0
,,2,0,2.2,6,0
,,3,0,2.42,6,0
,,4,0,2.66,6,0
,,5,0,2.93,6,0
,,6,0,3.22,6,0
,,7,0,3.54,6,0
,,8,0,3.9,6,0
,,9,0,4.29,6,0
,,10,0,4.72,6,0
,,11,0,5.17,6,0
,,12,0,5.71,6,0
,,13,0,6.28,6,0
,,14,0,6.9,6,0
,,15,0,7.59,6,0
0,1,1,0,4,6,0
,,2,0,4.4,6,0
,,3,0,4.84,6,0
,,4,0,5.32,6,0
,,5,0,5.86,6,0
,,6,0,6.44,6,0
,,7,0,7.09,6,0
,,8,0,7.79,6,0
,,9,0,8.57,6,0
,,10,0,9.43,6,0
,,11,0,10.37,6,0
,,12,0,11.41,6,0
,,13,0,12.55,6,0
,,14,0,13.81,6,0
,,15,0,15.19,6,0
0,2,1,0,6,6,0
,,2,0,6.6,6,0
,,3,0,7.26,6,0
,,4,0,7.99,6,0
,,5,0,8.78,6,0
,,6,0,9.66,6,0
,,7,0,10.63,6,0
,,8,0,11.69,6,0
,,9,0,12.86,6,0
,,10,0,14.15,6,0
,,11,0,15.56,6,0
,,12,0,17.12,6,0
,,13,0,18.83,6,0
,,14,0,20.71,6,0
,,15,0,22.78,6,0
0,3,1,0,9,6,0
,,2,0,9.9,6,0
,,3,0,10.89,6,0
,,4,0,11.98,6,0
,,5,0,13.18,6,0
,,6,0,14.49,6,0
,,7,0,15.94,6,0
,,8,0,17.54,6,0
,,9,0,19.29,6,0
,,10,0,21.22,6,0
,,11,0,23.34,6,0
,,12,0,25.68,6,0
,,13,0,28.25,6,0
,,14,0,31.07,6,0
,,15,0,34.18,6,0
0,4,1,0,14,6,0
,,2,0,15.4,6,0
,,3,0,16.94,6,0
,,4,0,18.63,6,0
,,5,0,20.5,6,0
,,6,0,22.55,6,0
,,7,0,24.8,6,0
,,8,0,27.28,6,0
,,9,0,30.01,6,0
,,10,0,33.01,6,0
,,11,0,36.31,6,0
,,12,0,39.94,6,0
,,13,0,43.94,6,0
,,14,0,48.33,6,0
,,15,0,53.16,6,0
