rune_id,rarity,level,ratio_bonus,value_bonus,stat_bonus,stat_apply_chance
7,0,1,0.01,0,8,0
,,2,0.0105,0,8,0
,,3,0.011,0,8,0
,,4,0.0116,0,8,0
,,5,0.0122,0,8,0
,,6,0.0128,0,8,0
,,7,0.0134,0,8,0
,,8,0.0141,0,8,0
,,9,0.0148,0,8,0
,,10,0.0155,0,8,0
,,11,0.0163,0,8,0
,,12,0.0171,0,8,0
,,13,0.018,0,8,0
,,14,0.0189,0,8,0
,,15,0.0198,0,8,0
7,1,1,0.02,0,8,0
,,2,0.021,0,8,0
,,3,0.0221,0,8,0
,,4,0.0232,0,8,0
,,5,0.0243,0,8,0
,,6,0.0255,0,8,0
,,7,0.0268,0,8,0
,,8,0.0281,0,8,0
,,9,0.0295,0,8,0
,,10,0.031,0,8,0
,,11,0.0326,0,8,0
,,12,0.0342,0,8,0
,,13,0.0359,0,8,0
,,14,0.0377,0,8,0
,,15,0.0396,0,8,0
7,2,1,0.03,0,8,0
,,2,0.0315,0,8,0
,,3,0.0331,0,8,0
,,4,0.0347,0,8,0
,,5,0.0365,0,8,0
,,6,0.0383,0,8,0
,,7,0.0402,0,8,0
,,8,0.0422,0,8,0
,,9,0.0443,0,8,0
,,10,0.0465,0,8,0
,,11,0.0489,0,8,0
,,12,0.0513,0,8,0
,,13,0.0539,0,8,0
,,14,0.0566,0,8,0
,,15,0.0594,0,8,0
7,3,1,0.04,0,8,0
,,2,0.042,0,8,0
,,3,0.0441,0,8,0
,,4,0.0463,0,8,0
,,5,0.0486,0,8,0
,,6,0.0511,0,8,0
,,7,0.0536,0,8,0
,,8,0.0563,0,8,0
,,9,0.0591,0,8,0
,,10,0.0621,0,8,0
,,11,0.0652,0,8,0
,,12,0.0684,0,8,0
,,13,0.0718,0,8,0
,,14,0.0754,0,8,0
,,15,0.0792,0,8,0
7,4,1,0.05,0,8,0
,,2,0.0525,0,8,0
,,3,0.0551,0,8,0
,,4,0.0579,0,8,0
,,5,0.0608,0,8,0
,,6,0.0638,0,8,0
,,7,0.067,0,8,0
,,8,0.0704,0,8,0
,,9,0.0739,0,8,0
,,10,0.0776,0,8,0
,,11,0.0814,0,8,0
,,12,0.0855,0,8,0
,,13,0.0898,0,8,0
,,14,0.0943,0,8,0
,,15,0.099,0,8,0
