rune_id,rarity,level,ratio_bonus,value_bonus,stat_bonus,stat_apply_chance
8,0,1,0.01,0,16,0
,,2,0.011,0,16,0
,,3,0.0121,0,16,0
,,4,0.133,0,16,0
,,5,0.0146,0,16,0
,,6,0.0161,0,16,0
,,7,0.0177,0,16,0
,,8,0.0195,0,16,0
,,9,0.0214,0,16,0
,,10,0.0236,0,16,0
,,11,0.0259,0,16,0
,,12,0.0285,0,16,0
,,13,0.0314,0,16,0
,,14,0.0345,0,16,0
,,15,0.038,0,16,0
8,1,1,0.02,0,16,0
,,2,0.022,0,16,0
,,3,0.0242,0,16,0
,,4,0.0266,0,16,0
,,5,0.0293,0,16,0
,,6,0.0322,0,16,0
,,7,0.0354,0,16,0
,,8,0.039,0,16,0
,,9,0.0429,0,16,0
,,10,0.0472,0,16,0
,,11,0.0519,0,16,0
,,12,0.0571,0,16,0
,,13,0.0628,0,16,0
,,14,0.069,0,16,0
,,15,0.0759,0,16,0
8,2,1,0.04,0,16,0
,,2,0.044,0,16,0
,,3,0.0484,0,16,0
,,4,0.0532,0,16,0
,,5,0.0586,0,16,0
,,6,0.0644,0,16,0
,,7,0.0709,0,16,0
,,8,0.0779,0,16,0
,,9,0.0857,0,16,0
,,10,0.0943,0,16,0
,,11,0.1037,0,16,0
,,12,0.1141,0,16,0
,,13,0.1255,0,16,0
,,14,0.1381,0,16,0
,,15,0.1519,0,16,0
8,3,1,0.08,0,16,0
,,2,0.088,0,16,0
,,3,0.0968,0,16,0
,,4,0.1065,0,16,0
,,5,0.1171,0,16,0
,,6,0.1288,0,16,0
,,7,0.1417,0,16,0
,,8,0.1559,0,16,0
,,9,0.1715,0,16,0
,,10,0.1886,0,16,0
,,11,0.2075,0,16,0
,,12,0.2282,0,16,0
,,13,0.2511,0,16,0
,,14,0.2762,0,16,0
,,15,0.3038,0,16,0
8,4,1,0.12,0,16,0
,,2,0.132,0,16,0
,,3,0.1452,0,16,0
,,4,0.1597,0,16,0
,,5,0.1757,0,16,0
,,6,0.1933,0,16,0
,,7,0.2126,0,16,0
,,8,0.2338,0,16,0
,,9,0.2572,0,16,0
,,10,0.283,0,16,0
,,11,0.3112,0,16,0
,,12,0.3424,0,16,0
,,13,0.3766,0,16,0
,,14,0.4143,0,16,0
,,15,0.4557,0,16,0
