rune_id,rarity,level,ratio_bonus,value_bonus,stat_bonus,stat_apply_chance
10,0,1,0.3,0.02,0,4
,,2,0.3,0.022,0,4
,,3,0.3,0.0242,0,4
,,4,0.3,0.0266,0,4
,,5,0.3,0.0293,0,4
,,6,0.3,0.0322,0,4
,,7,0.3,0.0354,0,4
,,8,0.3,0.039,0,4
,,9,0.3,0.0429,0,4
,,10,0.3,0.0472,0,4
,,11,0.3,0.0519,0,4
,,12,0.3,0.0571,0,4
,,13,0.3,0.0628,0,4
,,14,0.3,0.069,0,4
,,15,0.3,0.0759,0,4
10,1,1,0.3,0.04,0,4
,,2,0.3,0.044,0,4
,,3,0.3,0.0484,0,4
,,4,0.3,0.0532,0,4
,,5,0.3,0.0586,0,4
,,6,0.3,0.0644,0,4
,,7,0.3,0.0709,0,4
,,8,0.3,0.0779,0,4
,,9,0.3,0.0857,0,4
,,10,0.3,0.0943,0,4
,,11,0.3,0.1037,0,4
,,12,0.3,0.1141,0,4
,,13,0.3,0.1255,0,4
,,14,0.3,0.1381,0,4
,,15,0.3,0.1519,0,4
10,2,1,0.3,0.06,0,4
,,2,0.3,0.066,0,4
,,3,0.3,0.0726,0,4
,,4,0.3,0.0799,0,4
,,5,0.3,0.0878,0,4
,,6,0.3,0.0966,0,4
,,7,0.3,0.1063,0,4
,,8,0.3,0.1169,0,4
,,9,0.3,0.1286,0,4
,,10,0.3,0.1415,0,4
,,11,0.3,0.1556,0,4
,,12,0.3,0.1712,0,4
,,13,0.3,0.1883,0,4
,,14,0.3,0.2071,0,4
,,15,0.3,0.2278,0,4
10,3,1,0.3,0.08,0,4
,,2,0.3,0.088,0,4
,,3,0.3,0.0968,0,4
,,4,0.3,0.1065,0,4
,,5,0.3,0.1171,0,4
,,6,0.3,0.1288,0,4
,,7,0.3,0.1417,0,4
,,8,0.3,0.1559,0,4
,,9,0.3,0.1715,0,4
,,10,0.3,0.1886,0,4
,,11,0.3,0.2075,0,4
,,12,0.3,0.2282,0,4
,,13,0.3,0.2511,0,4
,,14,0.3,0.2762,0,4
,,15,0.3,0.3038,0,4
10,4,1,0.3,0.11,0,4
,,2,0.3,0.121,0,4
,,3,0.3,0.1331,0,4
,,4,0.3,0.1464,0,4
,,5,0.3,0.1611,0,4
,,6,0.3,0.1772,0,4
,,7,0.3,0.1949,0,4
,,8,0.3,0.2144,0,4
,,9,0.3,0.2358,0,4
,,10,0.3,0.2594,0,4
,,11,0.3,0.2853,0,4
,,12,0.3,0.3138,0,4
,,13,0.3,0.3452,0,4
,,14,0.3,0.3797,0,4
,,15,0.3,0.4177,0,4
