rune_id,rarity,level,ratio_bonus,value_bonus,stat_bonus,stat_apply_chance
2,0,1,0,12,5,0
,,2,0,13.2,5,0
,,3,0,14.52,5,0
,,4,0,15.97,5,0
,,5,0,17.57,5,0
,,6,0,19.33,5,0
,,7,0,21.26,5,0
,,8,0,23.38,5,0
,,9,0,25.72,5,0
,,10,0,28.3,5,0
,,11,0,31.12,5,0
,,12,0,34.24,5,0
,,13,0,37.66,5,0
,,14,0,41.43,5,0
,,15,0,45.57,5,0
2,1,1,0,20,5,0
,,2,0,22,5,0
,,3,0,24.2,5,0
,,4,0,26.62,5,0
,,5,0,29.28,5,0
,,6,0,32.21,5,0
,,7,0,35.43,5,0
,,8,0,38.97,5,0
,,9,0,42.87,5,0
,,10,0,47.16,5,0
,,11,0,51.87,5,0
,,12,0,57.06,5,0
,,13,0,62.77,5,0
,,14,0,69.05,5,0
,,15,0,75.95,5,0
2,2,1,0,28,5,0
,,2,0,30.8,5,0
,,3,0,33.88,5,0
,,4,0,37.27,5,0
,,5,0,40.99,5,0
,,6,0,45.09,5,0
,,7,0,49.6,5,0
,,8,0,54.56,5,0
,,9,0,60.02,5,0
,,10,0,66.02,5,0
,,11,0,72.62,5,0
,,12,0,79.89,5,0
,,13,0,87.88,5,0
,,14,0,96.66,5,0
,,15,0,106.33,5,0
2,3,1,0,40,5,0
,,2,0,44,5,0
,,3,0,48.4,5,0
,,4,0,53.24,5,0
,,5,0,58.56,5,0
,,6,0,64.42,5,0
,,7,0,70.86,5,0
,,8,0,77.95,5,0
,,9,0,85.74,5,0
,,10,0,94.32,5,0
,,11,0,103.74,5,0
,,12,0,114.12,5,0
,,13,0,125.54,5,0
,,14,0,138.09,5,0
,,15,0,151.9,5,0
2,4,1,0,55,5,0
,,2,0,60.5,5,0
,,3,0,66.55,5,0
,,4,0,73.21,5,0
,,5,0,80.53,5,0
,,6,0,88.58,5,0
,,7,0,97.44,5,0
,,8,0,107.18,5,0
,,9,0,117.9,5,0
,,10,0,129.69,5,0
,,11,0,142.66,5,0
,,12,0,156.92,5,0
,,13,0,172.61,5,0
,,14,0,189.87,5,0
,,15,0,208.86,5,0
