rune_id,rarity,level,ratio_bonus,value_bonus,stat_bonus,stat_apply_chance
5,0,1,0.01,0,9,0
,,2,0.011,0,9,0
,,3,0.0121,0,9,0
,,4,0.0133,0,9,0
,,5,0.0146,0,9,0
,,6,0.0161,0,9,0
,,7,0.0177,0,9,0
,,8,0.0195,0,9,0
,,9,0.0214,0,9,0
,,10,0.0236,0,9,0
,,11,0.0259,0,9,0
,,12,0.0285,0,9,0
,,13,0.0314,0,9,0
,,14,0.0345,0,9,0
,,15,0.038,0,9,0
5,1,1,0.02,0,9,0
,,2,0.022,0,9,0
,,3,0.0242,0,9,0
,,4,0.0266,0,9,0
,,5,0.0293,0,9,0
,,6,0.0322,0,9,0
,,7,0.0354,0,9,0
,,8,0.039,0,9,0
,,9,0.0429,0,9,0
,,10,0.0472,0,9,0
,,11,0.0519,0,9,0
,,12,0.0571,0,9,0
,,13,0.0628,0,9,0
,,14,0.069,0,9,0
,,15,0.0759,0,9,0
5,2,1,0.04,0,9,0
,,2,0.044,0,9,0
,,3,0.0484,0,9,0
,,4,0.0532,0,9,0
,,5,0.0586,0,9,0
,,6,0.0644,0,9,0
,,7,0.0709,0,9,0
,,8,0.0779,0,9,0
,,9,0.0857,0,9,0
,,10,0.0943,0,9,0
,,11,0.1037,0,9,0
,,12,0.1141,0,9,0
,,13,0.1255,0,9,0
,,14,0.1381,0,9,0
,,15,0.1519,0,9,0
5,3,1,0.08,0,9,0
,,2,0.088,0,9,0
,,3,0.0968,0,9,0
,,4,0.1065,0,9,0
,,5,0.1171,0,9,0
,,6,0.1288,0,9,0
,,7,0.1417,0,9,0
,,8,0.1559,0,9,0
,,9,0.1715,0,9,0
,,10,0.1886,0,9,0
,,11,0.2075,0,9,0
,,12,0.2282,0,9,0
,,13,0.2511,0,9,0
,,14,0.2762,0,9,0
,,15,0.3038,0,9,0
5,4,1,0.16,0,9,0
,,2,0.176,0,9,0
,,3,0.1936,0,9,0
,,4,0.213,0,9,0
,,5,0.2343,0,9,0
,,6,0.2577,0,9,0
,,7,0.2834,0,9,0
,,8,0.3118,0,9,0
,,9,0.343,0,9,0
,,10,0.3773,0,9,0
,,11,0.415,0,9,0
,,12,0.4565,0,9,0
,,13,0.5021,0,9,0
,,14,0.5524,0,9,0
,,15,0.6076,0,9,0
