rune_id,rarity,level,ratio_bonus,value_bonus,stat_bonus,stat_apply_chance
1,0,1,0,12,4,0
,,2,0,13.2,4,0
,,3,0,14.52,4,0
,,4,0,15.97,4,0
,,5,0,17.57,4,0
,,6,0,19.33,4,0
,,7,0,21.26,4,0
,,8,0,23.38,4,0
,,9,0,25.72,4,0
,,10,0,28.3,4,0
,,11,0,31.12,4,0
,,12,0,34.24,4,0
,,13,0,37.66,4,0
,,14,0,41.43,4,0
,,15,0,45.57,4,0
1,1,1,0,20,4,0
,,2,0,22,4,0
,,3,0,24.2,4,0
,,4,0,26.62,4,0
,,5,0,29.28,4,0
,,6,0,32.21,4,0
,,7,0,35.43,4,0
,,8,0,38.97,4,0
,,9,0,42.87,4,0
,,10,0,47.16,4,0
,,11,0,51.87,4,0
,,12,0,57.06,4,0
,,13,0,62.77,4,0
,,14,0,69.05,4,0
,,15,0,75.95,4,0
1,2,1,0,28,4,0
,,2,0,30.8,4,0
,,3,0,33.88,4,0
,,4,0,37.27,4,0
,,5,0,40.99,4,0
,,6,0,45.09,4,0
,,7,0,49.6,4,0
,,8,0,54.56,4,0
,,9,0,60.02,4,0
,,10,0,66.02,4,0
,,11,0,72.62,4,0
,,12,0,79.89,4,0
,,13,0,87.88,4,0
,,14,0,96.66,4,0
,,15,0,106.33,4,0
1,3,1,0,40,4,0
,,2,0,44,4,0
,,3,0,48.4,4,0
,,4,0,53.24,4,0
,,5,0,58.56,4,0
,,6,0,64.42,4,0
,,7,0,70.86,4,0
,,8,0,77.95,4,0
,,9,0,85.74,4,0
,,10,0,94.32,4,0
,,11,0,103.74,4,0
,,12,0,114.12,4,0
,,13,0,125.54,4,0
,,14,0,138.09,4,0
,,15,0,151.9,4,0
1,4,1,0,55,4,0
,,2,0,60.5,4,0
,,3,0,66.55,4,0
,,4,0,73.21,4,0
,,5,0,80.53,4,0
,,6,0,88.58,4,0
,,7,0,97.44,4,0
,,8,0,107.18,4,0
,,9,0,117.9,4,0
,,10,0,129.69,4,0
,,11,0,142.66,4,0
,,12,0,156.92,4,0
,,13,0,172.61,4,0
,,14,0,189.87,4,0
,,15,0,208.86,4,0
