rune_id,rarity,level,ratio_bonus,value_bonus,stat_bonus,stat_apply_chance
3,0,1,0,10,1,0
,,2,0,11,1,0
,,3,0,12.1,1,0
,,4,0,13.31,1,0
,,5,0,14.64,1,0
,,6,0,16.11,1,0
,,7,0,17.72,1,0
,,8,0,19.49,1,0
,,9,0,21.44,1,0
,,10,0,23.58,1,0
,,11,0,25.94,1,0
,,12,0,28.53,1,0
,,13,0,31.38,1,0
,,14,0,34.52,1,0
,,15,0,37.97,1,0
3,1,1,0,20,1,0
,,2,0,22,1,0
,,3,0,24.2,1,0
,,4,0,26.62,1,0
,,5,0,29.28,1,0
,,6,0,32.21,1,0
,,7,0,35.43,1,0
,,8,0,38.97,1,0
,,9,0,42.87,1,0
,,10,0,47.16,1,0
,,11,0,51.87,1,0
,,12,0,57.06,1,0
,,13,0,62.77,1,0
,,14,0,69.05,1,0
,,15,0,75.95,1,0
3,2,1,0,40,1,0
,,2,0,44,1,0
,,3,0,48.4,1,0
,,4,0,53.24,1,0
,,5,0,58.56,1,0
,,6,0,64.42,1,0
,,7,0,70.86,1,0
,,8,0,77.95,1,0
,,9,0,85.74,1,0
,,10,0,94.32,1,0
,,11,0,103.75,1,0
,,12,0,114.12,1,0
,,13,0,125.54,1,0
,,14,0,138.09,1,0
,,15,0,151.9,1,0
3,3,1,0,80,1,0
,,2,0,88,1,0
,,3,0,96.8,1,0
,,4,0,106.48,1,0
,,5,0,117.13,1,0
,,6,0,128.84,1,0
,,7,0,141.72,1,0
,,8,0,155.9,1,0
,,9,0,171.49,1,0
,,10,0,188.64,1,0
,,11,0,207.5,1,0
,,12,0,228.25,1,0
,,13,0,251.07,1,0
,,14,0,276.18,1,0
,,15,0,303.8,1,0
3,4,1,0,140,1,0
,,2,0,154,1,0
,,3,0,169.4,1,0
,,4,0,186.34,1,0
,,5,0,204.97,1,0
,,6,0,225.47,1,0
,,7,0,248.02,1,0
,,8,0,272.82,1,0
,,9,0,300.1,1,0
,,10,0,330.11,1,0
,,11,0,363.12,1,0
,,12,0,399.44,1,0
,,13,0,439.38,1,0
,,14,0,483.32,1,0
,,15,0,531.65,1,0
